trans_timestamp,cc_num,amt,prediction,status
2018-12-31 17:00:18,2703186189652095,4.97,0,LOLOS (AMAN)
2018-12-31 17:00:44,630423337322,107.23,0,LOLOS (AMAN)
2018-12-31 17:00:51,38859492057661,220.11,0,LOLOS (AMAN)
2018-12-31 17:01:16,3534093764340240,45.0,0,LOLOS (AMAN)
2018-12-31 17:03:06,375534208663984,41.96,0,LOLOS (AMAN)
2018-12-31 17:04:08,4767265376804500,94.63,0,LOLOS (AMAN)
2018-12-31 17:04:42,30074693890476,44.54,0,LOLOS (AMAN)
2018-12-31 17:05:08,6011360759745864,71.65,0,LOLOS (AMAN)
2018-12-31 17:05:18,4922710831011201,4.27,0,LOLOS (AMAN)
2018-12-31 17:06:01,2720830304681674,198.39,0,LOLOS (AMAN)
2018-12-31 17:06:23,4642894980163,24.74,0,LOLOS (AMAN)
2018-12-31 17:06:53,377234009633447,7.77,0,LOLOS (AMAN)
2018-12-31 17:06:56,180042946491150,71.22,0,LOLOS (AMAN)
2018-12-31 17:07:27,5559857416065248,96.29,0,LOLOS (AMAN)
2018-12-31 17:09:03,3514865930894695,7.77,0,LOLOS (AMAN)
2018-12-31 17:09:20,6011999606625827,3.26,0,LOLOS (AMAN)
2018-12-31 17:10:49,6011860238257910,327.0,1,BLOKIR (FRAUD)
2018-12-31 17:10:58,3565423334076143,341.67,1,BLOKIR (FRAUD)
2018-12-31 17:11:14,2348245054386329,63.07,0,LOLOS (AMAN)
2018-12-31 17:12:34,4956828990005111019,44.71,0,LOLOS (AMAN)
2018-12-31 17:13:08,4469777115158234880,57.34,0,LOLOS (AMAN)
2018-12-31 17:14:37,2305336922781618,50.79,0,LOLOS (AMAN)
2018-12-31 17:17:16,180048185037117,46.28,0,LOLOS (AMAN)
2018-12-31 17:17:40,630441765090,9.55,0,LOLOS (AMAN)
2018-12-31 17:18:06,4428780983793657331,22.95,0,LOLOS (AMAN)
2018-12-31 17:18:07,343464013864032,2.55,0,LOLOS (AMAN)
2018-12-31 17:20:15,374930071163758,64.09,0,LOLOS (AMAN)
2018-12-31 17:21:32,4334230547694630,6.85,0,LOLOS (AMAN)
2018-12-31 17:22:06,4225990116481262579,90.22,0,LOLOS (AMAN)
2018-12-31 17:22:18,4260059589824237,4.02,0,LOLOS (AMAN)
2018-12-31 17:22:36,180094608895855,3.66,0,LOLOS (AMAN)
2018-12-31 17:22:39,4599735407877245080,82.8,0,LOLOS (AMAN)
2018-12-31 17:22:44,630412733309,66.21,0,LOLOS (AMAN)
2018-12-31 17:23:41,2712209726293386,25.58,0,LOLOS (AMAN)
2018-12-31 17:23:58,374125201044065,9.03,0,LOLOS (AMAN)
2018-12-31 17:25:46,349612764943496,99.0,0,LOLOS (AMAN)
2018-12-31 17:26:22,3598215285024754,207.36,0,LOLOS (AMAN)
2018-12-31 17:27:45,213141712584544,181.35,0,LOLOS (AMAN)
2018-12-31 17:27:56,30561214688470,82.22,0,LOLOS (AMAN)
2018-12-31 17:29:11,4789911625179723,221.81,0,LOLOS (AMAN)
2018-12-31 17:30:49,676372984911,53.6,0,LOLOS (AMAN)
2018-12-31 17:31:01,30011465039817,54.02,0,LOLOS (AMAN)
2018-12-31 17:31:51,4642255475285942,102.13,0,LOLOS (AMAN)
2018-12-31 17:32:15,30074693890476,212.75,0,LOLOS (AMAN)
2018-12-31 17:32:15,180067784565096,130.4,0,LOLOS (AMAN)
2018-12-31 17:32:47,213126662687660,91.16,0,LOLOS (AMAN)
2018-12-31 17:33:51,2266735643685262,55.78,0,LOLOS (AMAN)
2018-12-31 17:34:10,3553629419254918,83.07,0,LOLOS (AMAN)
2018-12-31 17:36:12,3511058278399773,4.38,0,LOLOS (AMAN)
2018-12-31 17:36:58,4110266553600176127,130.89,0,LOLOS (AMAN)
2018-12-31 17:37:18,4265776278887457,103.0,0,LOLOS (AMAN)
2018-12-31 17:39:22,3583793405872580,50.82,0,LOLOS (AMAN)
2018-12-31 17:39:37,213193596103206,60.77,0,LOLOS (AMAN)
2018-12-31 17:39:43,60495593109,122.86,0,LOLOS (AMAN)
2018-12-31 17:40:44,4725837176265195730,212.45,0,LOLOS (AMAN)
2018-12-31 17:40:48,30404291151692,7.33,0,LOLOS (AMAN)
2018-12-31 17:40:50,213178850083780,70.53,0,LOLOS (AMAN)
2018-12-31 17:40:58,2356276337669917,58.26,0,LOLOS (AMAN)
2018-12-31 17:41:43,3568736585751727,50.45,0,LOLOS (AMAN)
